"","AGBN","seed","seedrich","type","time"
"329",3.0724204874328,0,0,"MF","first"
"330",40.897929841776,1111.35696,1,"MF","first"
"331",21.358340581536,0,0,"MF","first"
"332",154.19775547512,185.22616,1,"MF","first"
"333",205.89810378984,2037.48776,3,"MF","first"
"334",16.133530025592,0,0,"MF","first"
"335",279.61421346432,4074.97552,3,"MF","first"
"336",118.18341716328,0,0,"MF","first"
"337",138.59188593264,0,0,"MF","first"
"338",134.09774341488,0,0,"MF","first"
"339",37.619736673176,0,0,"MF","first"
"340",6.362468839944,1481.80928,1,"MF","first"
"341",82.738591709256,0,0,"MF","first"
"342",10.1840401095048,0,0,"MF","first"
"343",94.531635940392,185.22616,1,"MF","first"
"344",85.825938497544,1111.35696,2,"MF","first"
"345",45.327791864376,0,0,"MF","first"
"346",321.144681312,0,0,"MF","first"
"347",43.083040755888,0,0,"MF","first"
"348",53.775515483928,185.22616,1,"MF","first"
"349",38.874220694064,0,0,"MF","first"
"350",60.994837159704,185.22616,1,"MF","first"
"351",79.211402690616,0,0,"MF","first"
"352",170.36438407128,0,0,"MF","first"
"353",75.9173943906,0,0,"MF","first"
"354",148.881921048,0,0,"MF","first"
"355",165.78920441664,370.45232,1,"MF","first"
"356",52.312004967096,5927.23712,3,"MF","first"
"357",56.255375165472,0,0,"MF","first"
"358",18.015138368136,3148.84472,2,"MF","first"
"359",29.18749193136,0,0,"MF","first"
"360",17.532311709024,926.1308,2,"MF","first"
"361",60.541791368184,0,0,"MF","first"
"362",54.630261130032,0,0,"MF","first"
"363",51.571047566304,0,0,"MF","first"
"364",200.15085589128,370.45232,2,"MF","first"
"365",59.135735396808,2593.16624,4,"MF","first"
"366",44.067490654824,0,0,"MF","first"
"367",101.797977089088,0,0,"MF","first"
"368",15.153126379272,1111.35696,1,"MF","first"
"369",61.728139185048,0,0,"MF","first"
"370",109.78996488768,0,0,"MF","first"
"371",93.381390560304,0,0,"MF","first"
"372",13.8261908988,1111.35696,1,"MF","first"
"373",176.28300926208,0,0,"MF","first"
"374",99.06431312988,0,0,"MF","first"
"375",42.0636540996,555.67848,2,"MF","first"
"376",114.62955201936,0,0,"MF","first"
"377",91.053170079984,0,0,"MF","first"
"378",7.7779074098376,370.45232,1,"MF","first"
"379",46.094674423896,740.90464,3,"MF","first"
"380",43.50999326184,0,0,"MF","first"
"381",47.141555422752,3334.07088,1,"MF","first"
"382",150.83477033688,0,0,"MF","first"
"383",114.33902883984,6112.46328,3,"MF","first"
"384",90.790141243032,0,0,"MF","first"
"385",67.2767956602,9631.76032,1,"MF","first"
"386",79.093568192688,1481.80928,1,"MF","first"
"387",157.06230057504,1667.03544,2,"MF","first"
"388",190.65875075856,740.90464,1,"MF","first"
"389",72.039548826,0,0,"MF","first"
"390",37.420652077704,0,0,"MF","first"
